Description:,Tag,24,Name,Woolsey,Strain,NoTrump,Size,500K,Seed,000:Top=45,
,Low,7,8,9,10,11,12,High,Sum
2600,2,13,87,183,120,38,8,1,452
2625,1,19,76,162,125,40,5,0,428
2650,0,6,78,145,120,50,1,0,400
2675,1,9,65,170,171,61,9,0,486
2700,0,1,34,93,122,56,11,0,317
2725,0,5,26,86,101,37,5,0,260
2750,1,8,26,122,137,98,16,0,408
2775,0,1,14,65,103,63,8,1,255
2800,0,0,10,38,81,43,11,0,183
2825,0,3,15,71,136,107,24,2,358
2850,0,0,16,37,97,89,19,0,258
2875,0,0,2,22,63,63,32,0,182
2900,0,0,5,30,65,64,26,1,191
2925,0,0,7,18,57,90,30,0,202
2950,0,0,0,16,37,54,28,1,136
2975,0,0,2,2,43,62,38,4,151
3000,0,0,1,14,28,55,32,2,132
3025,0,0,0,3,29,57,41,1,131
3050,0,0,0,0,20,55,46,4,125
3075,0,0,0,3,10,42,35,6,96
3100,0,0,0,0,1,30,23,3,57
3125,0,0,0,0,10,41,47,7,105
3150,0,0,0,1,5,22,44,3,75
3175,0,0,0,0,0,9,16,2,27
3200,0,0,0,0,4,21,36,15,76
3225,0,0,0,0,1,12,28,3,44
3250,0,0,0,0,1,5,13,3,22
3275,0,0,0,0,0,3,18,8,29
3300,0,0,0,0,0,6,38,8,52
3325,0,0,0,0,0,3,14,6,23
3350,0,0,0,0,0,1,8,7,16
3375,0,0,0,0,0,3,22,9,34
3400,0,0,0,0,0,0,11,7,18
3425,0,0,0,0,0,1,7,10,18
3450,0,0,0,0,0,1,7,6,14
3475,0,0,0,0,0,0,3,5,8
3500,0,0,0,0,0,0,8,10,18
3525,0,0,0,0,0,0,1,6,7
3550,0,0,0,0,0,0,5,4,9
3575,0,0,0,0,0,0,2,7,9
3600,0,0,0,0,0,0,2,8,10
3625,0,0,0,0,0,0,0,1,1
3650,0,0,0,0,0,0,0,0,0
3675,0,0,0,0,0,0,1,3,4
3700,0,0,0,0,0,0,0,0,0
3725,0,0,0,0,0,0,0,0,0
3750,0,0,0,0,0,0,0,0,0
3775,0,0,0,0,0,0,0,1,1
3800,0,0,0,0,0,0,0,0,0
3825,0,0,0,0,0,0,0,1,1
3850,0,0,0,0,0,0,0,0,0
3875,0,0,0,0,0,0,0,0,0
3900,0,0,0,0,0,0,0,0,0
3925,0,0,0,0,0,0,0,0,0
3950,0,0,0,0,0,0,0,0,0
3975,0,0,0,0,0,0,0,0,0
4000,0,0,0,0,0,0,0,0,0
4025,0,0,0,0,0,0,0,0,0
4050,0,0,0,0,0,0,0,0,0
4075,0,0,0,0,0,0,0,0,0
4100,0,0,0,0,0,0,0,0,0
4125,0,0,0,0,0,0,0,0,0
4150,0,0,0,0,0,0,0,0,0
4175,0,0,0,0,0,0,0,0,0
4200,0,0,0,0,0,0,0,0,0
4225,0,0,0,0,0,0,0,0,0
4250,0,0,0,0,0,0,0,0,0
4275,0,0,0,0,0,0,0,0,0
4300,0,0,0,0,0,0,0,0,0
4325,0,0,0,0,0,0,0,0,0
4350,0,0,0,0,0,0,0,0,0
4375,0,0,0,0,0,0,0,0,0
4400,0,0,0,0,0,0,0,0,0
4425,0,0,0,0,0,0,0,0,0
4450,0,0,0,0,0,0,0,0,0
4475,0,0,0,0,0,0,0,0,0
4500,0,0,0,0,0,0,0,0,0
High,0,0,0,0,0,0,0,0,0
Sum,27484,6639,6090,4558,2726,1552,785,166,50000

